# Frame_Num   Avg_Cluster_Size   Std_Cluster_Size   Avg_Polymer_Cluster_Size   Std_Polymer_Cluster_Size   Largest_Cluster   Num_Clusters   Num_Polymer_Clusters   Num_Mixed_Clusters   Num_Solvent_Clusters   Fraction_Largest  Weight_Avg_Cluster_Size
800   1.449275   14.734577   1.256250   1.020091   575   1518   320   21   1177   0.261364   151.253636
805   1.437908   14.624150   1.230303   0.888473   573   1530   330   17   1183   0.260455   150.171818
810   1.439791   14.531435   1.250000   0.906447   569   1528   328   18   1182   0.258636   148.101818
815   1.437908   14.521892   1.252252   0.911737   569   1530   333   15   1182   0.258636   148.099091
820   1.435095   14.481263   1.240240   0.810555   568   1533   333   15   1185   0.258182   147.562727
825   1.447368   14.620817   1.237500   0.782524   571   1520   320   21   1179   0.259545   149.141818
830   1.455989   14.869759   1.243671   0.759408   579   1511   316   21   1174   0.263182   153.318182
835   1.445466   14.790077   1.180124   0.550417   578   1522   322   20   1180   0.262727   152.778182
840   1.434159   14.705781   1.231454   0.793046   577   1534   337   9   1188   0.262273   152.226364
845   1.444517   14.606775   1.242331   0.878956   571   1523   326   16   1181   0.259545   149.146364
850   1.440733   14.586920   1.220183   0.746340   571   1527   327   20   1180   0.259545   149.128182
855   1.433225   14.471783   1.221893   0.814728   568   1535   338   18   1179   0.258182   147.560000
860   1.439791   14.609231   1.219219   0.938014   572   1528   333   20   1175   0.260000   149.676364
865   1.428571   14.500944   1.230994   0.959336   570   1540   342   11   1187   0.259091   148.622727
870   1.433225   14.549229   1.224189   0.884080   571   1535   339   15   1181   0.259545   149.128182
875   1.436969   14.592901   1.234234   0.841366   572   1531   333   18   1180   0.260000   149.632727
880   1.435095   14.583202   1.231454   0.822435   572   1533   337   16   1180   0.260000   149.627273
885   1.449275   14.604708   1.246875   0.816809   570   1518   320   24   1174   0.259091   148.624545
890   1.444517   14.657169   1.234756   0.835427   573   1523   328   19   1176   0.260455   150.167273
895   1.445466   14.687413   1.255385   0.866120   574   1522   325   18   1179   0.260909   150.684545
900   1.446417   14.538436   1.278638   0.849189   568   1521   323   18   1180   0.258182   147.577273
905   1.451187   14.613341   1.283912   0.852623   570   1516   317   22   1177   0.259091   148.606364
910   1.455989   14.817326   1.258786   0.803424   577   1511   313   23   1175   0.262273   152.249091
915   1.449275   15.014082   1.250000   0.790569   586   1518   320   11   1187   0.266364   156.990909
920   1.449275   14.859988   1.256250   0.815835   580   1518   320   18   1180   0.263636   153.814545
925   1.449275   14.885191   1.196875   0.628980   581   1518   320   24   1174   0.264091   154.331818
930   1.436969   14.719601   1.181269   0.604924   577   1531   331   19   1181   0.262273   152.217273
935   1.446417   14.793825   1.212963   0.733471   578   1521   324   23   1174   0.262727   152.756364
940   1.433225   14.624171   1.208955   0.731739   574   1535   335   14   1186   0.260909   150.653636
945   1.439791   14.734351   1.227273   0.738456   577   1528   330   16   1182   0.262273   152.226364
950   1.436969   14.745316   1.207831   0.716962   578   1531   332   15   1184   0.262727   152.744545
955   1.441678   14.819630   1.212766   0.668679   580   1526   329   21   1176   0.263636   153.779091
960   1.438849   14.753934   1.227273   0.683029   578   1529   330   17   1182   0.262727   152.725455
965   1.442623   14.698014   1.233129   0.747762   575   1525   326   16   1183   0.261364   151.191818
970   1.449275   14.731582   1.224299   0.683245   575   1518   321   20   1177   0.261364   151.192727
975   1.443570   14.753489   1.254601   0.759133   577   1524   326   14   1184   0.262273   152.226364
980   1.439791   14.657532   1.237805   0.739667   574   1528   328   15   1185   0.260909   150.658182
985   1.442623   14.620359   1.257669   0.756071   572   1525   326   18   1181   0.260000   149.613636
990   1.444517   14.809095   1.242331   0.713274   579   1523   326   17   1180   0.263182   153.266364
995   1.444517   14.810913   1.227692   0.824902   579   1523   325   16   1182   0.263182   153.303636
1000   1.439791   14.759513   1.246201   0.769987   578   1528   329   14   1185   0.262727   152.741818
