# Frame_Num   Avg_Cluster_Size   Std_Cluster_Size   Avg_Polymer_Cluster_Size   Std_Polymer_Cluster_Size   Largest_Cluster   Num_Clusters   Num_Polymer_Clusters   Num_Mixed_Clusters   Num_Solvent_Clusters   Fraction_Largest  Weight_Avg_Cluster_Size
800   1.479489   17.239972   1.122867   0.450925   666   1487   293   12   1182   0.302727   202.370909
805   1.491525   17.518158   1.134948   0.469620   674   1475   289   13   1173   0.306364   207.244545
810   1.478495   17.285928   1.129252   0.448309   668   1488   294   8   1186   0.303636   203.578182
815   1.490515   17.278071   1.141343   0.461777   665   1476   283   18   1175   0.302273   201.778182
820   1.484480   17.165349   1.141869   0.467576   662   1482   289   12   1181   0.300909   199.970909
825   1.488498   17.188781   1.143860   0.492405   662   1478   285   15   1178   0.300909   199.980000
830   1.491525   17.362235   1.127660   0.466632   668   1475   282   17   1176   0.303636   203.598182
835   1.503759   17.642414   1.144404   0.503503   676   1463   277   18   1168   0.307273   208.488182
840   1.486486   17.358535   1.135889   0.448382   669   1480   287   13   1180   0.304091   204.191818
845   1.482480   17.309194   1.109966   0.363645   668   1484   291   13   1180   0.303636   203.581818
850   1.486486   17.332592   1.125874   0.440393   668   1480   286   16   1178   0.303636   203.586364
855   1.487492   17.286543   1.140351   0.460305   666   1479   285   14   1180   0.302727   202.379091
860   1.497617   17.293275   1.157509   0.469694   664   1469   273   20   1176   0.301818   201.186364
865   1.487492   17.468324   1.125436   0.415234   673   1479   287   11   1181   0.305909   206.626364
870   1.502732   17.636005   1.123188   0.433270   676   1464   276   24   1164   0.307273   208.478182
875   1.497617   17.579833   1.136691   0.444008   675   1469   278   18   1173   0.306818   207.859091
880   1.495581   17.542291   1.146429   0.531159   674   1471   280   13   1178   0.306364   207.256364
885   1.498638   17.638919   1.118705   0.428662   677   1468   278   14   1176   0.307727   209.108182
890   1.504788   17.674815   1.166667   0.582142   677   1462   270   15   1177   0.307727   209.108182
895   1.508916   17.699720   1.131086   0.541921   677   1458   267   18   1173   0.307727   209.128182
900   1.509952   17.888623   1.158491   0.599822   684   1457   265   14   1178   0.310909   213.439091
905   1.502732   17.845496   1.163569   0.580997   684   1464   269   9   1186   0.310909   213.424545
910   1.510989   17.842216   1.163498   0.558275   682   1456   263   14   1179   0.310000   212.197273
915   1.514109   18.018056   1.148289   0.541848   688   1453   263   13   1177   0.312727   215.930909
920   1.516196   17.925190   1.175781   0.576526   684   1451   256   19   1176   0.310909   213.436364
925   1.506849   17.921957   1.133829   0.436197   686   1460   269   15   1176   0.311818   214.664545
930   1.505818   17.863870   1.144444   0.542172   684   1461   270   12   1179   0.310909   213.429091
935   1.508916   17.777014   1.167300   0.510866   680   1458   263   19   1176   0.309091   210.945455
940   1.516196   18.056889   1.138462   0.468284   689   1451   260   15   1176   0.313182   216.561818
945   1.510989   17.999272   1.152091   0.522921   688   1456   263   13   1180   0.312727   215.922727
950   1.519337   18.022689   1.164062   0.583328   687   1448   256   20   1172   0.312273   215.308182
955   1.514109   17.991949   1.175573   0.605079   687   1453   262   12   1179   0.312273   215.310000
960   1.517241   18.194203   1.156250   0.571969   694   1450   256   12   1182   0.315455   219.695455
965   1.520387   18.265362   1.181102   0.613719   696   1447   254   11   1182   0.316364   220.953636
970   1.534170   18.401474   1.179592   0.694286   698   1434   245   21   1168   0.317273   222.249091
975   1.521438   18.325074   1.149020   0.657796   698   1446   255   13   1178   0.317273   222.239091
980   1.517241   18.010803   1.162791   0.685291   687   1450   258   21   1171   0.312273   215.319091
985   1.514109   18.175654   1.152985   0.636946   694   1453   268   11   1174   0.315455   219.698182
990   1.507882   18.007398   1.159259   0.644498   689   1459   270   8   1181   0.313182   216.555455
995   1.505818   17.838526   1.143396   0.674470   683   1461   265   14   1182   0.310455   212.828182
1000   1.517241   18.089777   1.169231   0.714019   690   1450   260   15   1175   0.313636   217.198182
