# Dense_Phase_Rg   Dense_Asphericity   Dense_Acylindricity   Dense_RelShapeAniso   Dense_Lambda2/Lambda1   Dense_Lambda3/Lambda1   Dilute_Phase_Rg   Dilute_Asphericity   Dilute_Acylindricity   Dilute_RelShapeAniso   Dilute_Lambda2/Lambda1   Dilute_Lambda3/Lambda1   Largest_Cluster_Rg   Largest_Asphericity   Largest_Acylindricity   Largest_RelShapeAniso   Largest_Lambda2/Lambda1   Largest_Lambda3/Lambda1
5.484065   0.560712   0.170366   0.336166   0.327534   0.086611   3.817470   0.515961   0.200328   0.296314   0.386103   0.090332   5.484065   0.560712   0.170366   0.336166   0.327534   0.086611
3.825667   0.316736   0.244215   0.145053   0.642549   0.194029   2.743142   0.425361   0.318754   0.257135   0.568842   0.052146   3.878450   0.314966   0.261741   0.150585   0.661160   0.179408
5.166269   0.705466   0.067887   0.501139   0.164403   0.079929   2.507766   0.346587   0.187304   0.146435   0.551844   0.219976   4.649197   0.436861   0.210460   0.224067   0.469029   0.132063
5.342139   0.757124   0.048045   0.574969   0.125263   0.067936   3.252755   0.608442   0.149804   0.387032   0.277986   0.075265   5.833649   0.373890   0.205159   0.171361   0.534306   0.182157
3.669415   0.473678   0.262499   0.276050   0.472472   0.068078   2.622959   0.335202   0.288360   0.174724   0.656930   0.139043   5.342139   0.757124   0.048045   0.574969   0.125263   0.067936
8.347116   0.715330   0.026851   0.512237   0.133687   0.100546   3.055461   0.322479   0.039288   0.105150   0.447703   0.376052   6.133801   0.473418   0.018598   0.224384   0.284810   0.256152
6.185683   0.759140   0.076503   0.580683   0.141214   0.050076   2.288588   0.484693   0.088922   0.240858   0.329387   0.193930   8.427047   0.878969   0.034556   0.773482   0.062679   0.025090
5.466405   0.765017   0.065193   0.588439   0.131529   0.054226   2.309036   0.635643   0.156052   0.422305   0.263479   0.057360   7.250533   0.744081   0.045283   0.555194   0.130154   0.075556
7.111464   0.801108   0.110876   0.650995   0.140344   0.012519   3.125361   0.354800   0.048151   0.127622   0.419646   0.335151   5.638653   0.782892   0.028117   0.613512   0.101054   0.068179
6.133801   0.473418   0.018598   0.224384   0.284810   0.256152   2.688764   0.406397   0.091430   0.171428   0.403105   0.251798   5.290648   0.597741   0.112652   0.366812   0.260187   0.106256
5.638653   0.782892   0.028117   0.613512   0.101054   0.068179   3.136852   0.483691   0.138053   0.248251   0.367691   0.157178   4.731850   0.585596   0.097319   0.350026   0.258099   0.123630
5.714687   0.764659   0.031862   0.585465   0.111941   0.074149   2.983208   0.515523   0.282342   0.325551   0.447056   0.030016   3.423629   0.468240   0.242181   0.263238   0.462195   0.087007
4.319090   0.279808   0.351410   0.170909   0.799752   0.123798   2.611372   0.493400   0.065568   0.246668   0.304486   0.205480   3.362613   0.368079   0.241393   0.179185   0.572535   0.155419
4.362017   0.576685   0.128642   0.344977   0.286193   0.106973   3.262816   0.849593   0.041317   0.723088   0.078684   0.032763   3.831513   0.587503   0.070989   0.348940   0.238611   0.140695
5.182278   0.768839   0.072121   0.595014   0.133722   0.048461   4.495446   0.758609   0.104428   0.583666   0.158124   0.033668   6.791317   0.785957   0.052233   0.619774   0.113687   0.052760
2.744708   0.225979   0.066079   0.054341   0.601353   0.464823   2.086484   0.277654   0.181715   0.101857   0.639692   0.289185   4.520040   0.423571   0.156676   0.197823   0.439297   0.184834
5.060156   0.684719   0.077785   0.473378   0.182304   0.083819   3.652257   0.639058   0.105485   0.416740   0.227895   0.088983   5.825956   0.356563   0.303285   0.196124   0.641147   0.110038
5.879019   0.779625   0.114493   0.617647   0.153215   0.019003   3.033965   0.375551   0.061687   0.143893   0.409445   0.303762   7.685058   0.874487   0.029365   0.765374   0.061681   0.029635
2.482243   0.281348   0.084969   0.084571   0.541440   0.378320   3.794981   0.260271   0.256512   0.117090   0.739537   0.233444   6.183178   0.493618   0.200307   0.273751   0.406012   0.103623
8.116378   0.743892   0.090733   0.559549   0.157654   0.048239   3.207066   0.253593   0.096816   0.071339   0.591586   0.398878   2.983125   0.292951   0.327123   0.166078   0.755237   0.136430
