# Frame_Num   Polymer_K   Solvent_K   Mixture_K   Dense_Polymers   Dilute_Polymers   Dense_Solvents   Dilute_Solvents   Mixture_K_Weighted
800   10.820512   2.664356   3.793028   844   156   897   303   4.073969
805   6.928572   1.532433   2.293413   776   224   756   444   2.503422
810   9.299436   2.091690   3.089219   823   177   839   361   3.381199
815   4.920416   1.001408   1.567095   711   289   632   568   1.725190
820   6.064516   1.560137   2.202329   752   248   761   439   2.323836
825   8.152284   2.034783   2.893805   803   197   832   368   3.085993
830   12.925374   2.970967   4.326877   866   134   921   279   4.738171
835   4.514658   1.165010   1.650602   693   307   677   523   1.732125
840   9.428572   2.285841   3.280156   825   175   861   339   3.528215
845   7.132420   2.042779   2.754266   781   219   833   367   2.859053
850   13.384616   2.984892   4.392157   870   130   922   278   4.850984
855   7.950248   1.671429   2.542673   799   201   780   420   2.819862
860   11.793104   2.761017   4.000000   855   145   905   295   4.353594
865   7.345794   1.841117   2.618421   786   214   806   394   2.785327
870   18.202020   4.667010   6.508532   901   99   1006   194   6.965314
875   11.333334   3.190910   4.314010   850   150   936   264   4.509642
880   9.834320   2.362840   3.400000   831   169   869   331   3.667097
885   4.849316   1.157143   1.692778   708   292   675   525   1.803416
890   5.782102   1.442733   2.064067   743   257   739   461   2.188498
895   8.050252   1.793267   2.666667   801   199   799   401   2.916431
900   3.797102   0.858957   1.294056   655   345   586   614   1.383558
905   9.428572   2.142254   3.150943   825   175   845   355   3.441193
910   6.230452   1.331405   2.026135   757   243   716   484   2.222924
915   17.047620   4.368293   6.096774   895   105   995   205   6.521909
920   6.620690   1.571395   2.288490   768   232   763   437   2.457063
925   10.269938   2.798630   3.835165   837   163   908   292   4.030216
930   7.259260   1.897927   2.654485   784   216   814   386   2.800091
935   7.708738   2.026830   2.826087   794   206   831   369   2.980367
940   5.220216   1.299593   1.864583   723   277   709   491   1.974045
945   6.888888   1.766667   2.492063   775   225   795   405   2.636364
950   14.528926   3.385715   4.898123   879   121   948   252   5.353977
955   5.812500   1.281818   1.929427   744   256   705   495   2.097882
960   5.067138   1.028571   1.609727   717   283   640   560   1.774999
965   7.950248   1.683732   2.554120   799   201   782   418   2.827318
970   5.246376   1.230178   1.809706   724   276   693   507   1.937920
975   8.000000   2.248688   3.051565   800   200   857   343   3.181023
980   5.843138   1.402772   2.038674   745   255   731   469   2.178151
985   9.235956   2.248688   3.222649   822   178   857   343   3.461922
990   8.582010   2.333533   3.206501   811   189   866   334   3.364719
995   9.111112   1.972340   2.956835   820   180   824   376   3.266065
1000   4.430868   0.988112   1.491506   689   311   628   572   1.605871
