# Frame_Num   Polymer_K   Solvent_K   Mixture_K   Dense_Polymers   Dilute_Polymers   Dense_Solvents   Dilute_Solvents   Mixture_K_Weighted
800   5.168458   1.268675   1.831403   721   279   702   498   1.943543
805   12.388490   2.850000   4.152225   861   139   912   288   4.542838
810   4.289308   0.971751   1.458101   682   318   623   577   1.563782
815   3.797102   0.888080   1.318230   655   345   596   604   1.401208
820   4.734006   1.193023   1.706027   703   297   684   516   1.798955
825   7.216590   1.494679   2.293413   783   217   749   451   2.546000
830   10.738854   3.100000   4.152225   843   157   930   270   4.319436
835   8.101010   1.912500   2.780069   802   198   816   384   3.000230
840   7.615384   1.753563   2.577236   792   208   793   407   2.793534
845   4.410256   1.035484   1.528736   688   312   642   558   1.629897
850   7.049774   1.532433   2.308271   779   221   756   444   2.530968
855   6.097166   1.494679   2.151862   753   247   749   451   2.291585
860   7.302326   1.779900   2.559871   785   215   797   403   2.738347
865   8.989010   2.267156   3.206501   818   182   859   341   3.416991
870   8.810810   2.314286   3.222649   815   185   864   336   3.405054
875   8.582010   2.067033   2.978300   811   189   836   364   3.203204
880   3.586592   0.943004   1.330508   642   358   614   586   1.386652
885   3.555556   0.921248   1.308499   640   360   607   593   1.366413
890   16.518518   3.900000   5.606607   892   108   975   225   6.117845
895   6.733624   1.876350   2.559871   771   229   811   389   2.667551
900   13.384616   3.581328   4.929919   870   130   959   241   5.212460
905   10.048192   2.786007   3.793028   834   166   907   293   3.972169
910   6.658008   1.696153   2.400309   769   231   784   416   2.541156
915   8.000000   2.026830   2.866432   800   200   831   369   3.046563
920   14.806722   4.123255   5.586826   881   119   985   215   5.864107
925   20.727272   5.034066   7.148148   912   88   1018   182   7.761693
930   7.049774   1.919843   2.642384   779   221   817   383   2.765763
935   18.833334   5.490533   7.301887   904   96   1031   169   7.607899
940   10.422360   2.748649   3.814004   839   161   904   296   4.034566
945   4.211180   1.217647   1.644231   678   322   690   510   1.695054
950   6.620690   1.635211   2.343465   768   232   774   426   2.495739
955   7.009010   1.641176   2.400309   778   222   775   425   2.587609
960   4.410256   0.921248   1.430939   688   312   607   593   1.560663
965   7.478672   2.067033   2.826087   789   211   836   364   2.952446
970   5.812500   1.635211   2.225806   744   256   774   426   2.312060
975   4.269592   0.943004   1.430939   681   319   614   586   1.541879
980   6.771930   1.611628   2.343465   772   228   770   430   2.515819
985   6.968610   2.026830   2.716216   777   223   831   369   2.812156
990   6.810572   1.635211   2.369066   773   227   774   426   2.538895
995   7.708738   2.362840   3.096834   794   206   869   331   3.184010
1000   5.220216   1.209375   1.788340   723   277   688   512   1.919367
